specialties,company_name,industry,contact_phone,contact_email,company_website,contact_name,designation,city_id,building_location,admin_id,contact_name_notes,company_address
,GlaxoSmithKline,,971 4 3769562,info@gsk.com,http://gsk.com/,Mr. Mohammed,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,HR is on leave for the day call back spoke to Mr. Mohammed,
,Samsung Engineering,,971 4 3769100,info@samsungengineering.com,http://www.samsungengineering.com/,HR,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,NP call,
,SNC-LAVALIN,,971 4 3929621,info@snclavalin.com,http://www.snclavalin.com/en/,Ms. Rose,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,HR in abudhabi spoke to rose admin,
06-12-2017,BL Harbert,,971 4 3636799,info@blharbert.com,http://www.blharbert.com/,HR,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,NP call,
,Arenco Interior Design,,971 4 4401110,danah@aaagroup.ae,http://www.arencore.com/,Ms. Danah,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,spoketto HR sent mail,
,The Heart of Europe,,971 4 8181481,stacia.azavedo@kleindienst.ae,https://www.kleindienst.ae/,Ms. Stacia,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,spoke to admin sent mail to HR,
,Hanwha Techwin,,971 4 4478601,info@hanwhatechwin.com,http://www.hanwhatechwin.com/,HR,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,Not valid number,
,Dollar Middle East Rent A Car,,971 4 4474930,hr@dollaruae.ae,http://www.dollaruae.com/,Ms. Lerma,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,spoke to admin Hr is n another office,
,CLUTTONS,,971 4 3657700,dubai@cluttons.com,http://www.cluttons.com/,HR,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,hr dept london no need,
,Weber Stephen Middle East,,971 4 4541626,info@weberstephen.ae,http://www.webergrill.ae/,Mr. Ariel,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,spoke to HR sent mail,
,IDC Gulf,,971 4 4251845,info@idc.it,http://www.idc.it/,HR,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,Not picking up the call,
,Bahlsen Manufacturer,,971 4 4574049,info@bahlsen.com,http://www.bahlsen.com/,HR,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,No need,
,Vogue Properties,,971 4 3757444,info@vogueproperties.ae,http://www.vogueproperties.ae/,HR,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,Not valid number,
,Luup International,,971 4 4348494,info@luup.com,https://luup.com/,HR,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,Not valid number,
